second,Pmech-of-gen1,Pmech-of-gen2,Pmech-of-gen3,Pmech-of-gen4,Pmech-of-gen5
0,1.1196,0.20767,1.7414e-07,1.6205e-07,1.6717e-07
1800,1.2756,0.23725,4.1051e-08,3.7105e-08,3.8707e-08
3600,1.4292,0.26701,2.729e-07,2.3406e-07,2.4888e-07
5400,1.5782,0.29593,5.8127e-07,4.5096e-07,4.986e-07
7200,1.7193,0.32351,3.7139e-07,2.2698e-07,2.694e-07
9000,1.8499,0.34919,1.0983e-06,1.1202e-07,1.7281e-07
10800,1.8895,0.35685,0.084497,1.1391e-06,2.5005e-06
12600,1.9139,0.36148,0.16842,2.303e-06,6.034e-05
14400,1.929,0.36438,0.22432,2.9249e-06,0.019004
16200,1.9359,0.36574,0.25493,2.1807e-06,0.050966
18000,1.9406,0.36667,0.27565,2.6223e-06,0.07264
19800,1.943,0.36713,0.28611,3.0839e-06,0.083578
21600,1.943,0.36713,0.28611,3.0839e-06,0.083578
23400,1.9406,0.36667,0.27565,2.6223e-06,0.07264
25200,1.9359,0.36574,0.25493,2.1807e-06,0.050966
27000,1.929,0.36438,0.22432,2.9249e-06,0.019004
28800,1.9139,0.36148,0.16842,2.303e-06,6.034e-05
30600,1.8895,0.35685,0.084497,1.1391e-06,2.5005e-06
32400,1.8499,0.34919,1.0983e-06,1.1202e-07,1.7281e-07
34200,1.7193,0.32351,3.7139e-07,2.2698e-07,2.694e-07
36000,1.5782,0.29593,5.8127e-07,4.5096e-07,4.986e-07
37800,1.4292,0.26701,2.729e-07,2.3406e-07,2.4888e-07
39600,1.2756,0.23725,4.1051e-08,3.7105e-08,3.8707e-08
41400,1.1196,0.20767,1.7414e-07,1.6205e-07,1.6717e-07
